product_category,problem,repair_status,brand,model,year_of_manufacture
toaster,toaster does not get hot enough,end of life,Unknown,Unknown,????
laptop,laptop very slow sped up,fixed,Unknown,Unknown,????
laptop,laptop not booting needs more work,repairable,Unknown,Unknown,????
laptop,laptop screen issue brought a spare,fixed,Unknown,Unknown,????
vacuum,hoover looses power improved needs further testing,fixed,Unknown,Unknown,????
laptop,laptop unstable not enough time,repairable,Unknown,Unknown,????
laptop,laptop screen issue finished at next event,fixed,Unknown,Unknown,????
pc accessory,floppy drive connection broken,fixed,Unknown,Unknown,????
power tool,fan heater overheats mains cable needed,end of life,Unknown,Unknown,????
power tool,drill not charging battery,fixed,Unknown,Unknown,????
tablet,e reader screen cracked went home needs to test,fixed,Amazon,Unknown,????
printer scanner,printer does not recognize cartridge needs more troubleshooting,repairable,Canon,Unknown,????
kettle,kettle gets power no heat needs new element,end of life,Unknown,Unknown,????
small kitchen item,food processor no power problem id ed,end of life,Unknown,Unknown,????
flat screen,monitor no power,fixed,Unknown,Unknown,????
mobile,mobile battery dead,fixed,Apple,Unknown,????
mobile,mobile slow and overheating,end of life,Unknown,Unknown,????
power tool,sander no power,end of life,Unknown,Unknown,????
flat screen,lcd tv 36 stuck in standby,unknown,Unknown,Unknown,????
laptop,laptop running extremely slow self repair,fixed,Acer,Unknown,????
laptop,laptop running extremely slow installed linux,fixed,Acer,Unknown,????
pc accessory,pc power supply no power,end of life,Unknown,Unknown,????
tv and gaming related accessories,dvd recorder door stuck closed diy ready,repairable,Unknown,Unknown,????
hi fi integrated,boombox cassette broken learned loads,end of life,Unknown,Unknown,????
digital compact camera,dslr camera display confusing explained and reconfigured,fixed,Unknown,Unknown,????
hair beauty item,uv gel curer no power bad solder joints,fixed,Unknown,Unknown,????
handheld entertainment device,handheld tape recorded running slow cleaned contacts,fixed,Unknown,Unknown,????
portable radio,dab radio power supply issue diy ready,repairable,Unknown,Unknown,????
mobile,mobile powers off constantly,end of life,Unknown,Unknown,????
laptop,laptop hard crashing,end of life,Unknown,Unknown,????
laptop,laptop misbehaving,fixed,Unknown,Unknown,????
handheld entertainment device,electronic dictionary no power undiagnosed,end of life,Unknown,Unknown,????
laptop,laptop dvd driver corrupted,end of life,Unknown,Unknown,????
mobile,mobile water damaged,end of life,Apple,Unknown,????
headphones,headphones broken wire,fixed,Unknown,Unknown,????
pc accessory,drive no power,end of life,Apple,Unknown,????
portable radio,dab radio no power work around use batteries,fixed,Unknown,Unknown,????
hi fi separates,cd radio cd broken,fixed,Unknown,Unknown,????
fan,bathroom fan no power,fixed,Unknown,Unknown,????
vacuum,hoover no power changed fuse,fixed,Unknown,Unknown,????
portable radio,dab radio no sound from speakers diy ready work around,fixed,Unknown,Unknown,????
small kitchen item,coffee grinder damaged connector diy ready,end of life,Unknown,Unknown,????
pc accessory,pc power supply needs new parts no luck even with spare parts,end of life,Unknown,Unknown,????
hair beauty item,hair dryer no power midas touch,fixed,Unknown,Unknown,????
digital compact camera,compact digital camera lens stuck new battery needed,repairable,Unknown,Unknown,????
handheld entertainment device,headphone radio bad connection,end of life,Unknown,Unknown,????
pc accessory,external flash not firing,repairable,Unknown,Unknown,????
pc accessory,storage drive needs troubleshooting needs more time,repairable,Unknown,Unknown,????
digital compact camera,digital compact camera spontaneously shuts off,fixed,Unknown,Unknown,????
tv and gaming related accessories,dvd player disc isn t playing capacitor,repairable,Unknown,Unknown,????
laptop,laptop running slow lost admin needs more work,repairable,Unknown,Unknown,????
musical instrument,synthesizer power issue,fixed,Unknown,Unknown,????
portable radio,radio receiver no power to be taken home,end of life,Unknown,Unknown,????
flat screen,tv no power transformer,repairable,Unknown,Unknown,????
toaster,toaster not heating probably element,end of life,Unknown,Unknown,????
tv and gaming related accessories,dvd recorder not working probably costly repair,end of life,Unknown,Unknown,????
toy,toy voice recorder not recording,fixed,Unknown,Unknown,????
toy,rc toy car not receiving diy repair by a kid,fixed,Unknown,Unknown,????
mobile,mobile volume button broken spare button needed,repairable,Nokia,Unknown,????
decorative or safety lights,clock needs new battery helped owner open it,fixed,Unknown,Unknown,????
small kitchen item,spice grinder no power,fixed,Unknown,Unknown,????
pc accessory,power adapter frayed wire,fixed,Unknown,Unknown,????
tablet,tablet screen issue needs more time,repairable,Apple,Unknown,????
lamp,lamp switch needs a switch,repairable,Unknown,Unknown,????
vacuum,minihoover frayed wire new plug fitted,fixed,Unknown,Unknown,????
hair beauty item,hair iron no power probably the wire or joint,end of life,Unknown,Unknown,????
digital compact camera,digital compact camera no power new battery needed,fixed,Unknown,Unknown,????
misc,iron not heating owner did not want to void the warranty,repairable,Unknown,Unknown,????
small kitchen item,food processor not working needed more time,repairable,Unknown,Unknown,????
flat screen,tv no power couldn t open without damagiing,end of life,Toshiba,Unknown,????
printer scanner,printer paper jamming needs more,repairable,Unknown,Unknown,????
pc accessory,xbox remote not receiving,fixed,Unknown,Unknown,????
laptop,laptop not booting needs more,end of life,Unknown,Unknown,????
portable radio,radio receiver not receiving antenna,fixed,Unknown,Unknown,????
laptop,laptop not booting hd needs replacing,fixed,Unknown,Unknown,????
laptop,laptop running slow linux,fixed,Dell,Unknown,????
small kitchen item,food processor continuity problem,fixed,Unknown,Unknown,????
portable radio,portable radio problem with buttons,fixed,Unknown,Unknown,????
hi fi separates,boombox intermittent volume problem,fixed,Unknown,Unknown,????
laptop,laptop not booting,fixed,Unknown,Unknown,????
laptop,laptop error message,fixed,Acer,Unknown,????
tablet,tablet screen issue frontfacing camera broke,fixed,Apple,Unknown,????
mobile,mobile running slow,fixed,Samsung,Unknown,????
small kitchen item,novelty clock not working,repairable,Unknown,Unknown,????
kettle,electric urn not heating,fixed,Unknown,Unknown,????
hair beauty item,electric toothbrush not charging need to break to open,end of life,Unknown,Unknown,????
hair beauty item,hairdryer not heating,fixed,Unknown,Unknown,????
pc accessory,external speakers buzzing sound,end of life,Unknown,Unknown,????
hi fi separates,speaker system inconsistent power potentiometer cleaned,fixed,Unknown,Unknown,????
pc accessory,floppy drive contacts resoldered,fixed,Unknown,Unknown,????
small kitchen item,microwave not heating too unsafe to look at,end of life,Unknown,Unknown,????
tablet,tablet usb port this got worse,end of life,Unknown,Unknown,????
tv and gaming related accessories,skybox pcb needs repair unwilling to get involved,end of life,Unknown,Unknown,????
laptop,laptop screen issue midas touch,fixed,Dell,Unknown,????
digital compact camera,digital camera fried,end of life,Unknown,Unknown,????
pc accessory,external battery cable broken frankenstein job,fixed,Unknown,Unknown,????
digital compact camera,digital camera lens stuck no time,end of life,Unknown,Unknown,????
tablet,tablet not charging midas touch,fixed,Samsung,Unknown,????
laptop,laptop intermittent fault with cd strange behaviour on reboot,fixed,Sony,Unknown,????
laptop,laptop headphone jack snapped off need special tool,repairable,Apple,Unknown,????
laptop,laptop admin password problem needs more,repairable,Unknown,Unknown,????
lamp,solar garden lamp no light battery,fixed,Unknown,Unknown,????
tablet,tablet usb charging port loosen needs spare part,repairable,Samsung,Unknown,????
hair beauty item,podiatry device power lead damaged needs spare part,repairable,Unknown,Unknown,????
laptop,laptop running slow could still use more work,fixed,Unknown,Unknown,????
kettle,stove not heating needs spare part,repairable,Unknown,Unknown,????
laptop,laptop not booting midas touch,fixed,Unknown,Unknown,????
mobile,mobile screen issue advised on spare part,repairable,Unknown,Unknown,????
mobile,mobile intermittently not charging needs new part,repairable,Unknown,Unknown,????
laptop,laptop running slow needs more work,repairable,Acer,Unknown,????
handheld entertainment device,handheld cd player no power,fixed,Unknown,Unknown,????
mobile,mobile not getting data,fixed,Unknown,Unknown,????
mobile,mobile no time,end of life,Unknown,Unknown,????
laptop,laptop not charging diy repair,fixed,Unknown,Unknown,????
portable radio,analog radio intermittent power problem,fixed,Unknown,Unknown,????
mobile,mobile screen wrong spare part,repairable,HTC,Unknown,????
laptop,laptop not booting motherboard,end of life,Apple,Unknown,????
musical instrument,music keyboard no sound from speakers not enough time,end of life,Unknown,Unknown,????
vacuum,hoover lost strength needs more,end of life,Daewoo,Unknown,????
tablet,tablet usb power socket needs a spare,repairable,Kobo,Unknown,????
tablet,tablet not booting got into recovery mode,fixed,Arnova,Unknown,????
printer scanner,printer not printing correctly needs more work,repairable,HP,Unknown,????
toaster,toaster not heating,fixed,Dualit,Unknown,????
laptop,laptop hd problem needs new hd,repairable,Unknown,Unknown,????
hair beauty item,electric toothbrush,end of life,Unknown,Unknown,????
laptop,laptop faulty keyboard needs spare,repairable,Unknown,Unknown,????
hair beauty item,hair straightner cable fraying diy solder job,fixed,Unknown,Unknown,????
handheld entertainment device,handheld radio intermittent power problem new battery,fixed,Unknown,Unknown,????
power tool,drill no power motor gone,end of life,Black & Decker,Unknown,????
projector,projector making noise,repairable,Unknown,Unknown,????
handheld entertainment device,multimeter need help operating,fixed,Unknown,Unknown,????
hi fi integrated,small hifi no sound,fixed,Unknown,Unknown,????
laptop,laptop casing deteriorating,fixed,Unknown,Unknown,????
dlsr video camera,camcorder stuck tape,fixed,Unknown,Unknown,????
mobile,mobile broken home button,fixed,Apple,Unknown,????
handheld entertainment device,dvd player identified part no diy ready,repairable,Unknown,Unknown,????
laptop,netbook freezing up probably the memory,repairable,Unknown,Unknown,????
digital compact camera,analog camera stuck lens cap,fixed,Unknown,Unknown,????
tablet,tablet not starting probably faulty contacts inside,fixed,Unknown,Unknown,????
laptop,laptop missing memory,end of life,Unknown,Unknown,????
handheld entertainment device,satnav headset not communicating,fixed,Unknown,Unknown,????
laptop,laptop not booting needed windows repair disk,repairable,Unknown,Unknown,????
hi fi integrated,boombox audio jack broken,fixed,Harman/Kardon,Unknown,????
laptop,laptop screen replacement came with spare,fixed,Apple,Unknown,????
handheld entertainment device,remote control sticky cleaned,fixed,Unknown,Unknown,????
toaster,toaster needs test,fixed,Unknown,Unknown,????
laptop,laptop smashed screen advised on spare part,repairable,Unknown,Unknown,????
laptop,laptop damaged casing wifi,fixed,Unknown,Unknown,????
laptop,laptop malware,fixed,Lenovo,Unknown,????
mobile,mobile power button,fixed,Samsung,Unknown,????
tablet,tablet display problem,end of life,Apple,Unknown,????
printer scanner,printer bad connection to computer heartbreaking spare is 2,repairable,HP,Unknown,????
laptop,laptop not working,unknown,Apple,Unknown,????
kettle,kettle lights on no heat,end of life,Unknown,Unknown,????
aircon dehumidifier,heater no heat,fixed,Unknown,Unknown,????
laptop,laptop overheats unable to replicate problem,repairable,Apple,Unknown,????
aircon dehumidifier,small fan heater makes noise and smells,end of life,Unknown,Unknown,????
tablet,tablet screen issue diy ready,repairable,Apple,Unknown,????
kettle,kettle bad contact to base,fixed,Unknown,Unknown,????
hair beauty item,hair straightner bad connection,fixed,Unknown,Unknown,????
headphones,headphones cable broke,fixed,Unknown,Unknown,????
hi fi separates,subwoofer buzzing unable to replicate problem,end of life,Unknown,Unknown,????
desktop computer,pc computer hardware no time,repairable,Apple,Unknown,????
headphones,headphones bad connection,fixed,Unknown,Unknown,????
